"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67"
"34" 0 0 -0.00575853508018762 0 0 0.0159550175979009 0 0 0 0 0 0 -0.020054638216682 0 0 0 0 0.00602652331742261 0.000866681419068974 0.00228821133121304 0 -8.79868899560248e-21 0 0 0.0228261581847988 -0.0278155818475907 -0.007321727535309 0 0 -0.0201026868920123 -0.000705200454736729 -0.0117608042157122 0 1 0.624440211479553 0 0.0230213899692345 0.568740205298865 0.463741868151187 0.462551898703924 0 0 0 0.0070156628907527 0.0127571964471918 0 0.0404667558177799 0 0 0 0 0 0 0.440026354661265 0.490270383255248 0 0 0 0 0 0 0 0 0 0.0509189167656751 0 0
"35" 0 0 -0.00559137137201715 0 0 0.0803484331517132 0 0 0 0 0 0 -0.0388908182995909 0 0 0 0 0.00940347629839057 -0.00808377032226895 0.00357995747165426 0 0 0 0 -0.0139837307146037 0 0 0 0 -0.0308652669255645 -0.0051190653324433 -0.0208874805222552 0 0.624440211479553 1 0 0.0350012824054387 0.669347989703967 0.537204934358525 0.449577511658855 0.432572844664178 0 0 0.0791080843541792 0 0 0.0936391328404158 0 0 0 0 0.39514444935767 0 0.399457370130922 0.608425941341692 0 0 0 0 0 0 0 0 0 -0.0371537863633389 0 0
"36" -3.33046736035405e-22 0 0 0 3.56577589121902e-21 0 0 0 0 0 0.00876138991979164 0 0 0 0 -3.87620064166209e-21 0 0 0 0 0 0 0 0 0 -0.0386337961538733 0 0 0.0641696324943827 0 0 0 0 0 0 1 0 0 0 0 0 0 0.498961398337733 0 0 0 0 0.35787914854268 0 0 0 0 0 0 0 0 0.457434752964438 0 0 0.481890907440846 0.380906457254176 0 0 0 0 0 0
"37" 1.69500880907026e-21 -9.52874468615601e-21 -0.024713996716415 0 0 0.0338565244064726 -0.00920315833533528 0 0 0 -0.00813122424259376 0 0.373036664971503 0 -2.13741709220684e-21 0 6.58947780329613e-21 -0.0208669975811679 -0.00277491384760424 -0.0328218009193202 -0.000120001087094152 0 0 0 0.055011071621074 0.0557277443508574 0.0472305444787379 0 0 0.000361563555342355 0.106436729604466 0.417487562585706 0 0.0230213899692345 0.0350012824054387 0 1 0 0.315879409773944 0.407352055478973 0.306108004699329 0.00323699894758699 0 0.173129818544193 0 0 0.448381369986613 0 0.380782935098201 0 0.339848233553107 0.0393122001248903 0 0.361515134934203 0.0164903804151193 0 0 0 0 0.226213652454601 0.426797039781219 0 0 0 0.294934565640204 0 0
"38" 0 0 -0.00315335506158183 0 0 0.540144337511718 0 0 0 0 0 0 -0.0215857877743487 0.00916957054537248 0 0 0 -0.0108968680077001 -0.0140243562591149 0 0 -1.11539874652037e-21 0 0 0.0283197966544918 0 0 0 0 0.0628937675104391 0.0480327254358853 0.00414192655333821 0 0.568740205298865 0.669347989703967 0 0 1 0.542851529556649 0.614752965895666 0.486304625344736 0 0 0 0 0 0.251548467784109 0 0 0 0 0 0 0.445341568053288 0.510854239760282 0 0 0 0 0 0 0 0 0 0 0 0
"39" 0 0 0.0692435307485485 0 0 0.359500404362471 0 0 0 8.01883026869037e-22 0 0 0.0324323352414458 -0.0198996894591272 0 0 0 0.0257589904227471 -0.00734196691584678 0 0.0141763866769402 0 0 0 0.0627418034688556 0 0 0 0 0.0198627064044147 0.0199294601255853 0.0684136792762263 0.0801662642612654 0.463741868151187 0.537204934358525 0 0.315879409773944 0.542851529556649 1 0.594148788874741 0.623658258778655 0 0 0.394225409280479 0 0 0.329989634994828 0 0.406690519493149 0.335371509933219 0 0.414714435678398 0 0.484786061619216 0.525436747113587 0 0 0 0 0 0 0 0 0.184177107744055 0 0 0
"40" 0 3.4382354036477e-21 0.0189305456315544 0 0 0.429611140687667 0 0 0 0 0 0 -0.0197551721947235 -0.0377455827059623 0 0 0 0.00162476845489858 0.0371723297952476 -0.00138981118694578 0.00556024860744069 3.89848023158821e-21 0 0 -0.0149595514289225 0.0223102145589635 0.00545800803484693 0 0 -0.000526534791297939 -0.0459187976629314 0.124755252203141 0 0.462551898703924 0.449577511658855 0 0.407352055478973 0.614752965895666 0.594148788874741 1 0.471145770231785 0 0 0.28271771302496 0.338597395910868 0 0.371470473675624 0 0.40670071261331 0 0.215482433290907 0 0 0.530788777781122 0.414805291916147 0 0 0 0 0 0 0 0 0 -0.0510570541187841 0 0
"41" 0 0 0.0207647459910999 0 0 0.402771839686617 0 0.0288401791841125 0.0718882716748304 0 0 0 0.0996835122816572 -0.00577957599615404 0 0 0 -0.00074309515980322 -0.0136617557677153 0 0 0 0.0102773436703786 0 0.00853932527369836 0 0 0 0 0.0408019299450033 -0.00565470822047143 -0.00921215156760732 0.352198254935297 0 0.432572844664178 0 0.306108004699329 0.486304625344736 0.623658258778655 0.471145770231785 1 0 0 0.314287614996524 0 0 0.314296645120822 0 0.475400244196247 0 0 0.377612122245094 0 0.424742897643866 0.426441558278003 0.35535434946569 0 0 0 0 0 0 0 0.287115820388031 0 0 0
"42" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -0.0400423431134287 -0.0374610104927963 0 -0.0582378311722082 0 0 0 0.374191725539367 0 0 0 0.00323699894758699 0 0 0 0 1 0 0.367098073364101 0 0 0.285347523180844 0 0.34897284188271 0 0 0 0 0 0.260851501356628 0 0 0 0 0.374025285831927 0.39404602781142 0 0 0.280707572687929 0 0 0
"43" -1.99231964071305e-23 0 0 0 0 0 0 0 0 0 0.450092765084118 0 0 0 0 1.5007008886381e-21 0 0 0 0 0 0 0 0 0 0.0288701578212721 0 0 0.348449151013065 0 0 0 0 0 0 0.498961398337733 0 0 0 0 0 0 1 0 0 0 0 0.469540906016176 0 0 0 0 0 0 0 0 0 0 0 0.363028092418892 0.294137735400301 0 0.0345003743477259 0.324472701837777 0 5.73587916985144e-21 0
